"0...1","Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования","Число погашенных избирательных бюллетеней","Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования","Число недействительных избирательных бюллетеней","Число действительных избирательных бюллетеней","Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных на избирательном участке до дня голосования","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке","Число погашенных неиспользованных открепительных удостоверений","Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией","Число утраченных открепительных удостоверений","Число утраченных избирательных бюллетеней","Число избирательных бюллетеней, не учтенных при получении","0...20","1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""","0...22","2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ","0...24","3. Политическая партия ""Российская партия пенсионеров за справедливость""","0...26","4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""","0...28","5. Политическая партия ""Российская экологическая партия ""Зеленые""","0...30","6. Политическая партия ""Гражданская Платформа""","0...32","7. Политическая партия ЛДПР - Либерально-демократическая партия России","0...34","8. Политическая партия ""Партия народной свободы"" (ПАРНАС)","0...36","9. Всероссийская политическая партия ""ПАРТИЯ РОСТА""","0...38","10. Общественная организация Всероссийская политическая партия ""Гражданская Сила""","0...40","11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""","0...42","12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""","0...44","13. Политическая партия ""ПАТРИОТЫ РОССИИ""","0...46","14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ","0...48"
"УИК №1753",2476,2000,0,653,5,1342,5,646,24,627,60,18,18,42,6,0,0,0,0,17,"2.61%",10,"1.54%",16,"2.46%",263,"40.40%",16,"2.46%",1,"0.15%",73,"11.21%",20,"3.07%",53,"8.14%",4,"0.61%",36,"5.53%",71,"10.91%",1,"0.15%",46,"7.07%"
"УИК №1754",2708,2500,0,777,2,1721,2,771,20,753,60,29,13,31,4,0,0,0,0,29,"3.75%",11,"1.42%",16,"2.07%",254,"32.86%",19,"2.46%",3,"0.39%",88,"11.38%",31,"4.01%",83,"10.74%",0,"0.00%",86,"11.13%",61,"7.89%",2,"0.26%",70,"9.06%"
"УИК №1755",1421,1000,0,395,0,605,0,393,13,380,60,8,12,52,2,0,0,0,0,22,"5.60%",3,"0.76%",12,"3.05%",118,"30.03%",3,"0.76%",1,"0.25%",50,"12.72%",18,"4.58%",46,"11.70%",3,"0.76%",31,"7.89%",39,"9.92%",2,"0.51%",32,"8.14%"
"УИК №1756",2076,2000,0,571,84,1345,84,566,20,630,60,32,32,28,4,0,0,0,0,9,"1.38%",8,"1.23%",18,"2.77%",276,"42.46%",10,"1.54%",2,"0.31%",92,"14.15%",9,"1.38%",34,"5.23%",1,"0.15%",71,"10.92%",54,"8.31%",1,"0.15%",45,"6.92%"
"УИК №1757",2671,2000,0,711,3,1286,3,708,13,698,60,19,23,41,5,0,0,0,0,26,"3.66%",7,"0.98%",19,"2.67%",237,"33.33%",16,"2.25%",4,"0.56%",67,"9.42%",26,"3.66%",70,"9.85%",0,"0.00%",99,"13.92%",67,"9.42%",1,"0.14%",59,"8.30%"
"УИК №1758",1790,1500,0,493,1,1006,1,492,8,485,60,15,20,45,6,0,0,0,0,16,"3.25%",2,"0.41%",8,"1.62%",161,"32.66%",18,"3.65%",4,"0.81%",61,"12.37%",29,"5.88%",46,"9.33%",1,"0.20%",53,"10.75%",41,"8.32%",0,"0.00%",45,"9.13%"
"УИК №1759",1702,1500,0,398,14,1088,14,398,6,406,60,18,17,42,7,0,0,0,0,19,"4.61%",1,"0.24%",7,"1.70%",152,"36.89%",9,"2.18%",3,"0.73%",43,"10.44%",19,"4.61%",41,"9.95%",1,"0.24%",51,"12.38%",29,"7.04%",2,"0.49%",29,"7.04%"
"УИК №1760",2130,1500,0,595,12,893,12,593,12,593,60,19,44,41,4,0,0,0,0,13,"2.15%",7,"1.16%",4,"0.66%",329,"54.38%",1,"0.17%",1,"0.17%",70,"11.57%",13,"2.15%",27,"4.46%",1,"0.17%",17,"2.81%",61,"10.08%",1,"0.17%",48,"7.93%"
"УИК №1761",2282,2000,0,706,9,1285,9,704,19,694,60,22,18,38,1,0,0,0,0,32,"4.49%",8,"1.12%",14,"1.96%",292,"40.95%",13,"1.82%",1,"0.14%",123,"17.25%",10,"1.40%",37,"5.19%",3,"0.42%",39,"5.47%",71,"9.96%",1,"0.14%",50,"7.01%"
"УИК №1762",2758,2500,0,782,12,1706,12,782,15,779,60,19,18,41,2,0,0,0,0,19,"2.39%",15,"1.89%",17,"2.14%",333,"41.94%",11,"1.39%",7,"0.88%",76,"9.57%",23,"2.90%",70,"8.82%",4,"0.50%",59,"7.43%",71,"8.94%",7,"0.88%",67,"8.44%"
"УИК №1763",1832,1500,0,616,1,883,1,616,11,606,60,17,13,43,3,0,0,0,0,25,"4.05%",7,"1.13%",9,"1.46%",238,"38.57%",8,"1.30%",1,"0.16%",97,"15.72%",17,"2.76%",45,"7.29%",0,"0.00%",50,"8.10%",49,"7.94%",16,"2.59%",44,"7.13%"
"УИК №1764",2697,2500,0,700,11,1789,11,700,11,700,60,39,15,21,8,0,0,0,0,18,"2.53%",8,"1.13%",13,"1.83%",309,"43.46%",11,"1.55%",0,"0.00%",74,"10.41%",11,"1.55%",53,"7.45%",2,"0.28%",64,"9.00%",69,"9.70%",3,"0.42%",65,"9.14%"
"УИК №1765",2269,2000,0,780,10,1210,10,775,21,764,60,50,10,10,3,0,0,0,0,22,"2.80%",13,"1.66%",16,"2.04%",350,"44.59%",12,"1.53%",3,"0.38%",91,"11.59%",18,"2.29%",44,"5.61%",4,"0.51%",39,"4.97%",87,"11.08%",5,"0.64%",60,"7.64%"
"УИК №1766",2344,2000,0,612,6,1382,6,610,11,605,60,27,20,33,2,0,0,0,0,17,"2.76%",9,"1.46%",14,"2.27%",236,"38.31%",14,"2.27%",1,"0.16%",71,"11.53%",18,"2.92%",39,"6.33%",0,"0.00%",62,"10.06%",64,"10.39%",3,"0.49%",57,"9.25%"
"УИК №1767",2261,2000,0,575,9,1416,9,575,13,571,60,25,15,35,5,0,0,0,0,22,"3.77%",2,"0.34%",12,"2.05%",190,"32.53%",10,"1.71%",1,"0.17%",93,"15.92%",21,"3.60%",45,"7.71%",3,"0.51%",55,"9.42%",63,"10.79%",5,"0.86%",49,"8.39%"
"УИК №1768",2046,2000,0,767,4,1229,4,767,29,742,60,10,26,50,4,0,0,0,0,31,"4.02%",9,"1.17%",17,"2.20%",260,"33.72%",14,"1.82%",1,"0.13%",65,"8.43%",26,"3.37%",63,"8.17%",2,"0.26%",77,"9.99%",104,"13.49%",5,"0.65%",68,"8.82%"
"УИК №1769",2232,2000,0,739,5,1256,5,739,21,723,60,19,11,41,4,0,0,0,0,16,"2.15%",7,"0.94%",16,"2.15%",234,"31.45%",5,"0.67%",4,"0.54%",74,"9.95%",19,"2.55%",98,"13.17%",4,"0.54%",94,"12.63%",87,"11.69%",2,"0.27%",63,"8.47%"
"УИК №1770",1988,1500,0,632,3,865,3,629,9,623,60,18,8,42,2,0,0,0,0,31,"4.91%",8,"1.27%",10,"1.58%",187,"29.59%",13,"2.06%",0,"0.00%",65,"10.28%",27,"4.27%",52,"8.23%",1,"0.16%",67,"10.60%",94,"14.87%",0,"0.00%",68,"10.76%"
"УИК №1771",2164,2000,0,754,11,1235,11,749,22,738,60,22,7,38,8,0,0,0,0,22,"2.89%",7,"0.92%",25,"3.29%",289,"38.03%",9,"1.18%",3,"0.39%",88,"11.58%",20,"2.63%",51,"6.71%",1,"0.13%",72,"9.47%",94,"12.37%",3,"0.39%",54,"7.11%"
"УИК №1772",1926,1500,0,634,2,864,2,634,13,623,60,18,6,42,4,0,0,0,0,22,"3.46%",12,"1.89%",26,"4.09%",204,"32.08%",13,"2.04%",2,"0.31%",74,"11.64%",15,"2.36%",53,"8.33%",2,"0.31%",57,"8.96%",77,"12.11%",4,"0.63%",62,"9.75%"
"УИК №1773",1475,1000,0,478,3,519,3,478,12,469,60,9,10,51,4,0,0,0,0,16,"3.33%",9,"1.87%",13,"2.70%",156,"32.43%",10,"2.08%",1,"0.21%",45,"9.36%",14,"2.91%",54,"11.23%",0,"0.00%",61,"12.68%",49,"10.19%",1,"0.21%",40,"8.32%"
"УИК №1774",2217,2000,0,620,1,1379,1,596,7,590,60,22,22,38,6,0,0,0,0,23,"3.85%",4,"0.67%",6,"1.01%",190,"31.83%",15,"2.51%",3,"0.50%",49,"8.21%",26,"4.36%",61,"10.22%",3,"0.50%",123,"20.60%",53,"8.88%",0,"0.00%",34,"5.70%"
"УИК №1775",1954,1500,0,602,5,893,5,602,11,596,60,27,8,33,4,0,0,0,0,7,"1.15%",8,"1.32%",19,"3.13%",228,"37.56%",5,"0.82%",0,"0.00%",56,"9.23%",22,"3.62%",69,"11.37%",2,"0.33%",49,"8.07%",64,"10.54%",1,"0.16%",66,"10.87%"
"УИК №1776",2150,2000,0,694,5,1301,5,691,15,681,60,17,34,43,2,0,0,0,0,13,"1.87%",3,"0.43%",15,"2.16%",266,"38.22%",7,"1.01%",0,"0.00%",81,"11.64%",10,"1.44%",63,"9.05%",1,"0.14%",65,"9.34%",88,"12.64%",0,"0.00%",69,"9.91%"
"УИК №1777",1795,1500,0,585,1,914,1,585,18,568,60,24,13,36,2,0,0,0,0,15,"2.56%",2,"0.34%",12,"2.05%",195,"33.28%",12,"2.05%",2,"0.34%",65,"11.09%",16,"2.73%",46,"7.85%",2,"0.34%",64,"10.92%",98,"16.72%",2,"0.34%",37,"6.31%"
"УИК №1778",2007,2000,0,634,4,1362,4,623,16,611,60,21,4,39,6,0,0,0,0,14,"2.23%",7,"1.12%",8,"1.28%",255,"40.67%",9,"1.44%",3,"0.48%",70,"11.16%",8,"1.28%",39,"6.22%",2,"0.32%",51,"8.13%",70,"11.16%",1,"0.16%",74,"11.80%"
"УИК №1779",2493,2500,0,801,6,1693,6,800,14,792,60,27,8,33,6,0,0,0,0,23,"2.85%",21,"2.61%",21,"2.61%",277,"34.37%",11,"1.36%",2,"0.25%",101,"12.53%",27,"3.35%",72,"8.93%",3,"0.37%",69,"8.56%",106,"13.15%",4,"0.50%",55,"6.82%"
"УИК №1780",2353,2000,0,729,12,1259,12,729,12,729,60,21,4,39,9,0,0,0,0,23,"3.10%",13,"1.75%",9,"1.21%",298,"40.22%",7,"0.94%",4,"0.54%",81,"10.93%",11,"1.48%",82,"11.07%",1,"0.13%",58,"7.83%",86,"11.61%",2,"0.27%",54,"7.29%"
"УИК №1781",2558,2500,0,813,7,1680,7,810,20,797,60,25,5,35,11,0,0,0,0,25,"3.06%",11,"1.35%",16,"1.96%",257,"31.46%",15,"1.84%",6,"0.73%",80,"9.79%",18,"2.20%",90,"11.02%",0,"0.00%",117,"14.32%",95,"11.63%",6,"0.73%",61,"7.47%"
"УИК №1782",2001,1500,0,604,2,894,2,603,8,597,60,19,7,41,3,0,0,0,0,20,"3.31%",11,"1.82%",17,"2.81%",193,"31.90%",10,"1.65%",2,"0.33%",62,"10.25%",14,"2.31%",53,"8.76%",2,"0.33%",84,"13.88%",83,"13.72%",2,"0.33%",44,"7.27%"
"УИК №1783",2276,2000,0,777,3,1220,3,775,21,757,60,19,22,41,3,0,0,0,0,24,"3.08%",9,"1.16%",13,"1.67%",299,"38.43%",10,"1.29%",2,"0.26%",81,"10.41%",20,"2.57%",71,"9.13%",2,"0.26%",73,"9.38%",88,"11.31%",0,"0.00%",65,"8.35%"
"УИК №1784",1991,1500,0,645,4,851,4,645,12,637,60,20,17,40,5,0,0,0,0,16,"2.47%",7,"1.08%",11,"1.69%",215,"33.13%",11,"1.69%",3,"0.46%",99,"15.25%",13,"2.00%",66,"10.17%",1,"0.15%",71,"10.94%",74,"11.40%",7,"1.08%",43,"6.63%"
"УИК №1785",2015,2000,0,635,4,1361,4,631,10,625,60,17,7,43,1,0,0,0,0,15,"2.36%",13,"2.05%",15,"2.36%",226,"35.59%",21,"3.31%",2,"0.31%",74,"11.65%",13,"2.05%",53,"8.35%",2,"0.31%",76,"11.97%",54,"8.50%",4,"0.63%",57,"8.98%"
"УИК №1786",1913,1500,0,489,2,1009,2,489,8,483,60,9,11,51,2,0,0,0,0,14,"2.85%",5,"1.02%",15,"3.05%",189,"38.49%",9,"1.83%",1,"0.20%",52,"10.59%",20,"4.07%",41,"8.35%",1,"0.20%",47,"9.57%",58,"11.81%",0,"0.00%",31,"6.31%"
"УИК №1787",2084,2000,0,600,7,1393,7,598,11,594,60,15,12,45,3,0,0,0,0,22,"3.64%",5,"0.83%",15,"2.48%",204,"33.72%",8,"1.32%",0,"0.00%",46,"7.60%",15,"2.48%",58,"9.59%",2,"0.33%",55,"9.09%",84,"13.88%",3,"0.50%",77,"12.73%"
"Сумма",45048,39140,0,16826,1348,20966,1348,16811,470,17689,817,471,984,346,140,0,0,0,0,385,"2.12%",266,"1.46%",387,"2.13%",8072,"44.45%",206,"1.13%",46,"0.25%",2226,"12.26%",275,"1.51%",1680,"9.25%",53,"0.29%",1299,"7.15%",1945,"10.71%",73,"0.40%",776,"4.27%"
"УИК №1239",2442,2000,0,626,6,1368,6,623,9,620,30,16,55,14,8,0,0,0,0,13,"2.07%",8,"1.27%",10,"1.59%",221,"35.14%",7,"1.11%",0,"0.00%",74,"11.76%",21,"3.34%",70,"11.13%",3,"0.48%",91,"14.47%",70,"11.13%",4,"0.64%",28,"4.45%"
"УИК №1240",2012,2000,0,674,16,1310,16,674,8,682,30,17,20,13,9,0,0,0,0,13,"1.88%",9,"1.30%",13,"1.88%",276,"40.00%",6,"0.87%",0,"0.00%",87,"12.61%",17,"2.46%",85,"12.32%",3,"0.43%",68,"9.86%",66,"9.57%",1,"0.14%",38,"5.51%"
"УИК №1241",2584,2500,0,917,9,1574,9,915,15,909,35,29,19,6,12,0,0,0,0,24,"2.60%",13,"1.41%",20,"2.16%",384,"41.56%",10,"1.08%",5,"0.54%",118,"12.77%",12,"1.30%",99,"10.71%",2,"0.22%",53,"5.74%",125,"13.53%",5,"0.54%",39,"4.22%"
"УИК №1242",2325,2000,0,845,11,1144,11,845,27,829,40,34,16,6,15,0,0,0,0,22,"2.57%",14,"1.64%",22,"2.57%",329,"38.43%",11,"1.29%",1,"0.12%",101,"11.80%",11,"1.29%",123,"14.37%",2,"0.23%",57,"6.66%",89,"10.40%",6,"0.70%",41,"4.79%"
"УИК №1243",1323,1000,0,511,10,479,10,511,8,513,20,16,21,4,9,0,0,0,0,8,"1.54%",11,"2.11%",13,"2.50%",198,"38.00%",7,"1.34%",2,"0.38%",79,"15.16%",5,"0.96%",75,"14.40%",0,"0.00%",34,"6.53%",44,"8.45%",2,"0.38%",35,"6.72%"
"УИК №1244",1533,1500,0,589,7,904,7,589,10,586,25,18,18,7,5,0,0,0,0,16,"2.68%",11,"1.85%",19,"3.19%",251,"42.11%",8,"1.34%",0,"0.00%",78,"13.09%",12,"2.01%",63,"10.57%",2,"0.34%",38,"6.38%",52,"8.72%",2,"0.34%",34,"5.70%"
"УИК №1245",1518,1500,0,588,7,905,7,588,9,586,20,12,26,8,8,0,0,0,0,15,"2.52%",7,"1.18%",17,"2.86%",241,"40.50%",11,"1.85%",0,"0.00%",75,"12.61%",4,"0.67%",76,"12.77%",1,"0.17%",47,"7.90%",60,"10.08%",2,"0.34%",30,"5.04%"
"УИК №1246",1363,1000,0,490,8,502,8,490,14,484,20,8,16,12,5,0,0,0,0,13,"2.61%",4,"0.80%",18,"3.61%",193,"38.76%",3,"0.60%",2,"0.40%",59,"11.85%",9,"1.81%",60,"12.05%",0,"0.00%",38,"7.63%",61,"12.25%",0,"0.00%",24,"4.82%"
"УИК №1247",1276,1000,0,358,3,639,3,358,6,355,20,11,18,9,3,0,0,0,0,7,"1.94%",6,"1.66%",7,"1.94%",126,"34.90%",5,"1.39%",0,"0.00%",40,"11.08%",10,"2.77%",51,"14.13%",1,"0.28%",51,"14.13%",32,"8.86%",0,"0.00%",19,"5.26%"
"УИК №1248",1940,1500,0,691,25,784,25,691,18,698,25,21,23,4,11,0,0,0,0,17,"2.37%",12,"1.68%",14,"1.96%",259,"36.17%",9,"1.26%",2,"0.28%",94,"13.13%",15,"2.09%",96,"13.41%",2,"0.28%",79,"11.03%",62,"8.66%",2,"0.28%",35,"4.89%"
"УИК №1249",1467,1100,0,518,15,567,15,517,16,516,25,17,21,8,1,0,0,0,0,10,"1.88%",9,"1.69%",11,"2.07%",210,"39.47%",1,"0.19%",4,"0.75%",72,"13.53%",7,"1.32%",54,"10.15%",3,"0.56%",47,"8.83%",57,"10.71%",2,"0.38%",29,"5.45%"
"УИК №1250",1454,1100,0,534,14,552,14,533,20,527,35,27,18,8,5,0,0,0,0,11,"2.01%",5,"0.91%",17,"3.11%",245,"44.79%",5,"0.91%",1,"0.18%",73,"13.35%",7,"1.28%",41,"7.50%",2,"0.37%",42,"7.68%",55,"10.05%",3,"0.55%",20,"3.66%"
"УИК №1251",1662,1500,0,695,23,782,23,695,29,689,25,14,39,11,3,0,0,0,0,15,"2.09%",14,"1.95%",16,"2.23%",311,"43.31%",9,"1.25%",2,"0.28%",80,"11.14%",14,"1.95%",75,"10.45%",0,"0.00%",46,"6.41%",77,"10.72%",4,"0.56%",26,"3.62%"
"УИК №1252",1733,1500,0,656,26,818,26,656,15,667,25,21,17,4,4,0,0,0,0,17,"2.49%",13,"1.91%",13,"1.91%",266,"39.00%",6,"0.88%",2,"0.29%",99,"14.52%",9,"1.32%",82,"12.02%",2,"0.29%",46,"6.74%",80,"11.73%",2,"0.29%",30,"4.40%"
"УИК №1253",1985,1500,0,692,27,781,27,691,16,702,25,21,31,4,5,0,0,0,0,13,"1.81%",11,"1.53%",17,"2.37%",269,"37.47%",6,"0.84%",2,"0.28%",105,"14.62%",11,"1.53%",83,"11.56%",2,"0.28%",64,"8.91%",76,"10.58%",2,"0.28%",41,"5.71%"
"УИК №1254",1003,700,0,322,24,354,24,322,5,341,25,5,25,20,1,0,0,0,0,8,"2.31%",2,"0.58%",9,"2.60%",179,"51.73%",8,"2.31%",0,"0.00%",42,"12.14%",1,"0.29%",23,"6.65%",3,"0.87%",19,"5.49%",31,"8.96%",1,"0.29%",15,"4.34%"
"УИК №1255",303,200,0,128,3,69,3,128,4,127,20,3,34,17,1,0,0,0,0,4,"3.05%",4,"3.05%",0,"0.00%",53,"40.46%",1,"0.76%",0,"0.00%",4,"3.05%",5,"3.82%",20,"15.27%",0,"0.00%",8,"6.11%",25,"19.08%",1,"0.76%",2,"1.53%"
"УИК №1256",1137,1000,0,385,25,590,25,383,9,399,25,15,12,10,0,0,0,0,0,11,"2.70%",9,"2.21%",7,"1.72%",165,"40.44%",9,"2.21%",2,"0.49%",59,"14.46%",3,"0.74%",33,"8.09%",0,"0.00%",25,"6.13%",51,"12.50%",3,"0.74%",22,"5.39%"
"УИК №1257",1292,1000,0,456,20,524,20,456,14,462,25,9,15,16,2,0,0,0,0,15,"3.15%",6,"1.26%",9,"1.89%",188,"39.50%",6,"1.26%",0,"0.00%",65,"13.66%",9,"1.89%",37,"7.77%",3,"0.63%",34,"7.14%",59,"12.39%",3,"0.63%",28,"5.88%"
"УИК №1258",1526,1500,0,500,34,966,34,500,16,518,25,13,20,12,0,0,0,0,0,13,"2.43%",1,"0.19%",14,"2.62%",235,"44.01%",3,"0.56%",1,"0.19%",78,"14.61%",15,"2.81%",35,"6.55%",1,"0.19%",28,"5.24%",63,"11.80%",0,"0.00%",31,"5.81%"
"УИК №1259",1122,1000,0,351,26,623,26,351,6,371,25,6,19,19,1,0,0,0,0,6,"1.59%",3,"0.80%",11,"2.92%",171,"45.36%",3,"0.80%",2,"0.53%",39,"10.34%",9,"2.39%",26,"6.90%",1,"0.27%",29,"7.69%",50,"13.26%",0,"0.00%",21,"5.57%"
"УИК №1260",1165,1000,0,444,13,543,13,443,14,442,20,2,82,18,0,0,0,0,0,6,"1.32%",5,"1.10%",14,"3.07%",203,"44.52%",3,"0.66%",1,"0.22%",42,"9.21%",6,"1.32%",45,"9.87%",2,"0.44%",43,"9.43%",50,"10.96%",6,"1.32%",16,"3.51%"
"УИК №1261",461,400,0,225,7,168,7,223,1,229,10,6,54,4,0,0,0,0,0,10,"4.35%",2,"0.87%",5,"2.17%",97,"42.17%",1,"0.43%",0,"0.00%",22,"9.57%",6,"2.61%",24,"10.43%",0,"0.00%",28,"12.17%",23,"10.00%",1,"0.43%",10,"4.35%"
"УИК №1262",1986,1500,0,845,34,621,34,845,28,851,45,35,49,10,2,0,0,0,0,15,"1.71%",18,"2.05%",17,"1.93%",393,"44.71%",16,"1.82%",3,"0.34%",98,"11.15%",5,"0.57%",74,"8.42%",2,"0.23%",64,"7.28%",106,"12.06%",5,"0.57%",35,"3.98%"
"УИК №1263",1734,1500,0,726,23,751,23,725,27,721,25,18,24,7,3,0,0,0,0,9,"1.20%",16,"2.14%",18,"2.41%",312,"41.71%",7,"0.94%",1,"0.13%",104,"13.90%",10,"1.34%",56,"7.49%",2,"0.27%",64,"8.56%",102,"13.64%",1,"0.13%",19,"2.54%"
"УИК №1264",790,600,0,303,18,279,18,303,8,313,25,10,57,15,0,0,0,0,0,8,"2.49%",6,"1.87%",5,"1.56%",133,"41.43%",4,"1.25%",1,"0.31%",32,"9.97%",6,"1.87%",21,"6.54%",2,"0.62%",40,"12.46%",45,"14.02%",1,"0.31%",9,"2.80%"
"УИК №1265",546,1000,0,518,28,454,28,518,18,528,25,6,55,19,4,0,0,0,0,17,"3.11%",10,"1.83%",9,"1.65%",245,"44.87%",5,"0.92%",2,"0.37%",63,"11.54%",8,"1.47%",28,"5.13%",1,"0.18%",41,"7.51%",69,"12.64%",2,"0.37%",28,"5.13%"
"УИК №1266",733,500,0,274,9,217,9,274,3,280,25,10,6,15,2,0,0,0,0,3,"1.06%",2,"0.71%",3,"1.06%",140,"49.47%",6,"2.12%",0,"0.00%",46,"16.25%",5,"1.77%",20,"7.07%",1,"0.35%",5,"1.77%",36,"12.72%",3,"1.06%",10,"3.53%"
"УИК №1267",1592,1500,0,798,66,636,66,798,23,841,40,35,20,5,18,0,0,0,0,12,"1.39%",6,"0.69%",7,"0.81%",498,"57.64%",7,"0.81%",4,"0.46%",128,"14.81%",10,"1.16%",25,"2.89%",4,"0.46%",19,"2.20%",104,"12.04%",4,"0.46%",13,"1.50%"
"УИК №1268",685,700,0,343,312,45,312,343,28,627,5,0,29,5,0,0,0,0,0,17,"2.60%",7,"1.07%",13,"1.98%",491,"74.96%",10,"1.53%",5,"0.76%",36,"5.50%",5,"0.76%",8,"1.22%",4,"0.61%",10,"1.53%",16,"2.44%",1,"0.15%",4,"0.61%"
"УИК №1269",214,200,0,73,20,107,20,72,3,89,10,2,16,8,0,0,0,0,0,1,"1.09%",0,"0.00%",0,"0.00%",52,"56.52%",2,"2.17%",0,"0.00%",13,"14.13%",2,"2.17%",3,"3.26%",0,"0.00%",4,"4.35%",9,"9.78%",0,"0.00%",3,"3.26%"
"УИК №1270",108,90,0,36,5,49,5,36,0,41,10,1,12,9,0,0,0,0,0,1,"2.44%",0,"0.00%",1,"2.44%",20,"48.78%",1,"2.44%",0,"0.00%",9,"21.95%",0,"0.00%",1,"2.44%",0,"0.00%",2,"4.88%",6,"14.63%",0,"0.00%",0,"0.00%"
"УИК №1271",1076,1000,0,394,15,591,15,394,23,386,15,12,41,3,2,0,0,0,0,9,"2.20%",10,"2.44%",5,"1.22%",177,"43.28%",6,"1.47%",1,"0.24%",54,"13.20%",2,"0.49%",39,"9.54%",0,"0.00%",14,"3.42%",47,"11.49%",4,"0.98%",18,"4.40%"
"УИК №1272",657,550,0,104,425,21,425,104,16,513,17,1,37,16,1,0,0,0,0,2,"0.38%",2,"0.38%",0,"0.00%",441,"83.36%",0,"0.00%",0,"0.00%",22,"4.16%",2,"0.38%",9,"1.70%",0,"0.00%",8,"1.51%",22,"4.16%",0,"0.00%",5,"0.95%"
"УИК №1273",301,500,0,217,34,249,34,217,4,247,0,0,19,0,0,0,0,0,0,4,"1.59%",10,"3.98%",13,"5.18%",100,"39.84%",4,"1.59%",0,"0.00%",36,"14.34%",2,"0.80%",20,"7.97%",2,"0.80%",13,"5.18%",25,"9.96%",0,"0.00%",18,"7.17%"
"Сумма",35621,30224,0,14422,450,15350,450,14394,474,14370,783,497,419,286,167,0,2,0,0,264,"1.78%",180,"1.21%",353,"2.38%",7315,"49.28%",201,"1.35%",32,"0.22%",2200,"14.82%",152,"1.02%",961,"6.47%",28,"0.19%",554,"3.73%",1507,"10.15%",45,"0.30%",578,"3.89%"
"УИК №1220",1946,1500,0,738,42,720,42,738,20,760,30,20,15,10,7,0,0,0,0,12,"1.54%",8,"1.03%",22,"2.82%",357,"45.77%",10,"1.28%",1,"0.13%",120,"15.38%",6,"0.77%",53,"6.79%",3,"0.38%",37,"4.74%",85,"10.90%",3,"0.38%",43,"5.51%"
"УИК №1221",2005,1500,0,602,205,693,205,602,23,784,30,18,29,12,4,0,0,0,0,8,"0.99%",14,"1.73%",23,"2.85%",432,"53.53%",8,"0.99%",3,"0.37%",127,"15.74%",11,"1.36%",31,"3.84%",2,"0.25%",23,"2.85%",66,"8.18%",4,"0.50%",32,"3.97%"
"УИК №1222",1755,1500,0,552,9,939,9,547,29,527,30,10,1,20,9,0,0,0,0,12,"2.16%",6,"1.08%",10,"1.80%",247,"44.42%",5,"0.90%",4,"0.72%",84,"15.11%",5,"0.90%",59,"10.61%",1,"0.18%",23,"4.14%",48,"8.63%",0,"0.00%",23,"4.14%"
"УИК №1223",1764,1500,0,651,10,839,10,650,17,643,40,18,11,22,9,0,0,0,0,9,"1.36%",7,"1.06%",22,"3.33%",264,"40.00%",13,"1.97%",2,"0.30%",101,"15.30%",11,"1.67%",60,"9.09%",2,"0.30%",32,"4.85%",101,"15.30%",1,"0.15%",18,"2.73%"
"УИК №1224",763,700,0,330,3,367,3,330,18,315,40,11,10,29,5,0,0,0,0,10,"3.00%",4,"1.20%",11,"3.30%",165,"49.55%",4,"1.20%",1,"0.30%",42,"12.61%",2,"0.60%",21,"6.31%",0,"0.00%",13,"3.90%",29,"8.71%",0,"0.00%",13,"3.90%"
"УИК №1225",1146,1000,0,427,5,568,5,427,23,409,30,11,7,19,1,0,0,0,0,10,"2.31%",8,"1.85%",19,"4.40%",160,"37.04%",13,"3.01%",1,"0.23%",54,"12.50%",0,"0.00%",37,"8.56%",2,"0.46%",25,"5.79%",60,"13.89%",0,"0.00%",20,"4.63%"
"УИК №1226",2797,2500,0,1217,61,1222,61,1215,45,1231,113,106,56,7,17,0,0,0,0,16,"1.25%",12,"0.94%",19,"1.49%",657,"51.49%",15,"1.18%",3,"0.24%",250,"19.59%",12,"0.94%",53,"4.15%",2,"0.16%",36,"2.82%",106,"8.31%",7,"0.55%",43,"3.37%"
"УИК №1227",1889,1500,0,719,11,770,11,719,21,709,40,17,53,23,7,0,0,0,0,10,"1.37%",18,"2.47%",24,"3.29%",328,"44.93%",10,"1.37%",2,"0.27%",100,"13.70%",8,"1.10%",59,"8.08%",1,"0.14%",36,"4.93%",77,"10.55%",3,"0.41%",33,"4.52%"
