"0...1","Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования","Число погашенных избирательных бюллетеней","Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования","Число недействительных избирательных бюллетеней","Число действительных избирательных бюллетеней","Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных на избирательном участке до дня голосования","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке","Число погашенных неиспользованных открепительных удостоверений","Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией","Число утраченных открепительных удостоверений","Число утраченных избирательных бюллетеней","Число избирательных бюллетеней, не учтенных при получении","0...20","1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""","0...22","2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ","0...24","3. Политическая партия ""Российская партия пенсионеров за справедливость""","0...26","4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""","0...28","5. Политическая партия ""Российская экологическая партия ""Зеленые""","0...30","6. Политическая партия ""Гражданская Платформа""","0...32","7. Политическая партия ЛДПР - Либерально-демократическая партия России","0...34","8. Политическая партия ""Партия народной свободы"" (ПАРНАС)","0...36","9. Всероссийская политическая партия ""ПАРТИЯ РОСТА""","0...38","10. Общественная организация Всероссийская политическая партия ""Гражданская Сила""","0...40","11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""","0...42","12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""","0...44","13. Политическая партия ""ПАТРИОТЫ РОССИИ""","0...46","14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ","0...48"
"УИК №808",2089,2000,0,669,7,1324,7,667,12,662,30,19,9,11,1,0,0,0,0,22,"3.26%",9,"1.34%",13,"1.93%",258,"38.28%",7,"1.04%",5,"0.74%",61,"9.05%",8,"1.19%",67,"9.94%",5,"0.74%",79,"11.72%",83,"12.31%",3,"0.45%",42,"6.23%"
"УИК №809",2391,2000,0,772,6,1222,6,766,5,767,45,26,3,19,3,0,0,0,0,29,"3.76%",11,"1.42%",17,"2.20%",307,"39.77%",13,"1.68%",3,"0.39%",83,"10.75%",10,"1.30%",63,"8.16%",0,"0.00%",87,"11.27%",71,"9.20%",4,"0.52%",69,"8.94%"
"УИК №810",2826,2500,0,998,18,1484,18,994,19,993,45,26,8,19,6,0,0,0,0,40,"3.95%",9,"0.89%",18,"1.78%",415,"41.01%",14,"1.38%",2,"0.20%",89,"8.79%",16,"1.58%",88,"8.70%",4,"0.40%",110,"10.87%",125,"12.35%",3,"0.30%",60,"5.93%"
"УИК №811",2744,2500,0,871,28,1601,28,835,16,847,30,22,9,8,1,0,0,0,0,23,"2.67%",21,"2.43%",26,"3.01%",281,"32.56%",15,"1.74%",1,"0.12%",93,"10.78%",20,"2.32%",64,"7.42%",2,"0.23%",82,"9.50%",96,"11.12%",2,"0.23%",121,"14.02%"
"УИК №812",2193,2000,0,791,5,1204,5,785,8,782,30,12,17,18,0,0,0,0,0,13,"1.65%",11,"1.39%",17,"2.15%",319,"40.38%",11,"1.39%",2,"0.25%",108,"13.67%",12,"1.52%",54,"6.84%",2,"0.25%",82,"10.38%",89,"11.27%",3,"0.38%",59,"7.47%"
"УИК №813",1921,1500,0,634,3,863,3,634,5,632,45,22,12,23,1,0,0,0,0,10,"1.57%",8,"1.26%",8,"1.26%",300,"47.10%",9,"1.41%",2,"0.31%",73,"11.46%",5,"0.78%",46,"7.22%",1,"0.16%",58,"9.11%",50,"7.85%",2,"0.31%",60,"9.42%"
"УИК №814",2305,2000,0,761,1,1238,1,760,6,755,30,16,4,14,1,0,0,0,0,16,"2.10%",10,"1.31%",12,"1.58%",357,"46.91%",10,"1.31%",0,"0.00%",102,"13.40%",16,"2.10%",42,"5.52%",3,"0.39%",78,"10.25%",68,"8.94%",5,"0.66%",36,"4.73%"
"УИК №815",502,500,0,308,22,170,22,308,12,318,0,0,2,0,0,0,0,0,0,9,"2.73%",6,"1.82%",23,"6.97%",140,"42.42%",3,"0.91%",0,"0.00%",38,"11.52%",4,"1.21%",18,"5.45%",0,"0.00%",15,"4.55%",34,"10.30%",3,"0.91%",25,"7.58%"
"Сумма",86837,76856,0,34713,932,41211,925,33990,1279,33636,1795,1145,692,650,202,0,0,0,0,926,"2.65%",617,"1.77%",852,"2.44%",14975,"42.89%",481,"1.38%",81,"0.23%",4499,"12.89%",580,"1.66%",2558,"7.33%",92,"0.26%",1980,"5.67%",4428,"12.68%",137,"0.39%",1430,"4.10%"
"УИК №1674",1133,900,0,358,74,468,74,358,21,411,35,9,15,26,2,0,0,0,0,10,"2.31%",9,"2.08%",15,"3.47%",170,"39.35%",8,"1.85%",1,"0.23%",66,"15.28%",4,"0.93%",21,"4.86%",3,"0.69%",35,"8.10%",48,"11.11%",3,"0.69%",18,"4.17%"
"УИК №1675",865,800,0,291,12,497,12,291,4,299,35,17,8,18,0,0,0,0,0,16,"5.28%",3,"0.99%",10,"3.30%",122,"40.26%",3,"0.99%",0,"0.00%",46,"15.18%",6,"1.98%",24,"7.92%",0,"0.00%",13,"4.29%",46,"15.18%",1,"0.33%",9,"2.97%"
"УИК №1676",1947,1500,0,739,10,751,10,739,28,721,35,23,9,12,0,0,0,0,0,25,"3.34%",15,"2.00%",11,"1.47%",317,"42.32%",15,"2.00%",1,"0.13%",93,"12.42%",13,"1.74%",47,"6.28%",0,"0.00%",50,"6.68%",100,"13.35%",2,"0.27%",32,"4.27%"
"УИК №1677",1489,1100,0,475,20,605,20,474,13,481,35,9,14,26,2,0,0,0,0,15,"3.04%",9,"1.82%",15,"3.04%",204,"41.30%",3,"0.61%",0,"0.00%",64,"12.96%",6,"1.21%",31,"6.28%",2,"0.40%",40,"8.10%",74,"14.98%",4,"0.81%",14,"2.83%"
